GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.59515333,1,,Action,2,Accelerate,0.7910566,,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.59515333,1,,Action,2,Dash,0.2,,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.56857944,2.59515333,1,,Action,2,TurnLeft,0.1,,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.59515333,1,,Action,2,TurnRight,0.1,,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0,2.59515333,1,0,Collision,0,,0,,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,TRUE,1.068575,FALSE,0.95,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0
1,1,20250925_111545,1,1,20250925_111545,0,2.59515333,0,,Collision,0,,0,,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0,FALSE,2.93142486,FALSE,1.05,0.01442487,1.076271,0.859746635,77.32232,297.3716,1,0,0,0.819135845,1.66121471,2.3585453,3.172397,110.282776,0,0,0
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.59515333,0,,Action,2,Accelerate,0.1,,0.01442487,1.076271,2.59324145,614.7886,297.3716,1,0,0,0.819135845,1.66121471,2.76920056,199.091782,110.282776,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.56857944,2.59515333,0,,Action,2,Dash,0.2,,0.01442487,1.076271,2.59324145,614.7886,297.3716,1,0,0,0.819135845,1.66121471,2.76920056,199.091782,110.282776,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.46721148,2.59515333,0,,Action,2,TurnLeft,0.1,,0.01442487,1.076271,2.59324145,614.7886,297.3716,1,0,0,0.819135845,1.66121471,2.76920056,199.091782,110.282776,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.36595726,2.59515333,0,,Action,2,TurnRight,0.1,,0.01442487,1.076271,2.59324145,614.7886,297.3716,1,0,0,0.819135845,1.66121471,2.76920056,199.091782,110.282776,0,0,0,,,,,,,,,,,,,,,,,,,,
